ORCIDiD,name,country,education,works
https://orcid.org/0000-0002-0751-0877,Jeff Broadbent,,,98
https://orcid.org/0000-0002-7958-5165,Wen-Dar Huang,Taiwan,National Taiwan University,127
https://orcid.org/0000-0002-7714-8826,Jon B Cole,United States,University of Colorado Denver School of Medicine,81
https://orcid.org/0000-0003-1475-0745,Michael O Daramola,South Africa,University of Stellenboch ,100
https://orcid.org/0000-0003-0334-9470,Olimpia Figueras,,Centro de Investigaci¨®n y de Estudios Avanzados del Instituto Polit¨¦cnico Nacional,87
https://orcid.org/0000-0001-7276-6898,Philip Luthert,,,180
https://orcid.org/0000-0001-5494-4806,Gail P. Clement,United States,Carleton College,55
https://orcid.org/0000-0003-1825-9347,Fiorella Piemonte,,"University of Rome Tor Vergata, Faculty of Medicine",109
https://orcid.org/0000-0002-7964-8453,Adrian Martin,,Monash University,343
https://orcid.org/0000-0003-2438-2624,adele d'amico,,,153
https://orcid.org/0000-0002-0284-7067,Fred Friedman,,,121
https://orcid.org/0000-0003-4119-2873,Philip O. Ogunbona,Australia,Imperial College London,111
https://orcid.org/0000-0002-6972-6913,Joaquim F. Martins Filho,Brazil,University of Glasgow,122
https://orcid.org/0000-0001-5398-5569,Michael Smolka,,,88
https://orcid.org/0000-0003-4632-0301,Elaine S Jaffe ,,Joan and Sanford I Weill Medical College of Cornell University,118
https://orcid.org/0000-0002-9541-8666,Gilles Salles,France,Universit¨¦ Lyon 1,130
https://orcid.org/0000-0002-5612-5940,Carles Vilarino-Guell,Canada,,100
https://orcid.org/0000-0002-7277-5927,Pedro Albertos,,,147
https://orcid.org/0000-0002-1018-1752,Ze-Guang Han,,,156
https://orcid.org/0000-0002-8875-7758,Kazuhiro Izui,,,169
https://orcid.org/0000-0002-3097-8849,Ricardo Simoes,,,167
https://orcid.org/0000-0001-6601-3937,Onur Demirors,,,172
https://orcid.org/0000-0002-3327-4054,Rosalba Carrozzo,,,121
https://orcid.org/0000-0001-7178-9430,Heikki Junninen,,,189
https://orcid.org/0000-0002-5809-3508,Kirsten Lomborg,Denmark,Aarhus University,180
https://orcid.org/0000-0002-0697-9876,Purificaci¨®n P¨¦rez-Garc¨ªa,Spain,Universidad de Granada (Facultad de Ciencias de la Educaci¨®n),160
https://orcid.org/0000-0001-5054-1380,Chris McLinden,Canada,,126
https://orcid.org/0000-0002-9699-2272,David Ellsworth,Australia,,112
https://orcid.org/0000-0002-7890-3926,Gene Feder,United Kingdom,International School of Geneva,274
https://orcid.org/0000-0001-6749-4592,Emilio Jimenez,Spain,,287
https://orcid.org/0000-0002-9902-4592,Berend J Slotman,Netherlands,,238
https://orcid.org/0000-0001-6330-3314,Paulo Menezes,Brazil,Faculdade de Ciencias Medicas da Santa Casa de Sao Paulo,272
https://orcid.org/0000-0003-1983-3435,Mohammad-Hossein Nasr-Esfahani,,,336
https://orcid.org/0000-0002-6727-1273,Francesca Ingegnoli,Italy,,318
https://orcid.org/0000-0003-1159-5321,Matthew Farrer,Canada,Imperial College London,356
https://orcid.org/0000-0002-5268-0242,Richard Houlston,United Kingdom,Imperial College Faculty of Medicine - Charing Cross Campus,631
https://orcid.org/0000-0003-3694-3070,Shigeo Maruyama,,The University of Tokyo,358
https://orcid.org/0000-0002-0185-7300,Henrik Callesen,,,391
https://orcid.org/0000-0002-3698-1934,Renaud Toussaint,,ENS Lyon,120
